Municipios,Periodo,Media de la renta por unidad de consumo,Mediana de la renta por unidad de consumo,Renta bruta media por hogar,Renta bruta media por persona,Renta neta media por hogar,Renta neta media por persona 
28125 Robledo de Chavela,2021,19.285,16.45,39.592,15.994,32.886,13.285
28126 Robregordo,2021,,,32.418,18.151,27.228,15.245
"28127 Rozas de Madrid, Las",2021,20.283,18.55,41.656839,16.457760999999998,34.941,13.665
28128 Rozas de Puerto Real,2021,17.9,17.15,32.104,15.304,27.217,12.974
28129 San AgustÃ­n del Guadalix,2021,27.94,22.05,69.819,22.279,54.057,17.25
28130 San Fernando de Henares,2021,20.028,18.55,43.324,15.814,36.256,13.234
28131 San Lorenzo de El Escorial,2021,22.569,19.25,48.415,18.679,38.927,15.018
28132 San MartÃ­n de la Vega,2021,17.52,16.45,40.071,13.157,33.852,11.115
28133 San MartÃ­n de Valdeiglesias,2021,17.097,14.35,35.773,13.497,30.052,11.339
28134 San SebastiÃ¡n de los Reyes,2021,25.679,21.35,58.208,20.876,45.647,16.371
28135 Santa MarÃ­a de la Alameda,2021,16.507,14.35,31.497,13.863,26.501,11.664
28136 Santorcaz,2021,19.27,17.85,37.092,15.365,31.121,12.892
"28137 Santos de la Humosa, Los",2021,19.259,17.85,42.295,14.711,35.192,12.241
"28138 Serna del Monte, La",2021,17.5,16.45,31.694,13.793,27.665,12.039
28140 Serranillos del Valle,2021,21.254,19.25,51.534,16.352,41.913,13.299
28141 Sevilla la Nueva,2021,21.249,19.25,48.159,16.632,39.156,13.523
28143 Somosierra,2021,,,32.418,18.151,27.228,15.245
28144 Soto del Real,2021,26.37,22.75,62.573,21.683,49.129,17.024
28145 Talamanca de Jarama,2021,19.523,17.85,41.353,15.304,34.277,12.685
28146 Tielmes,2021,16.628,15.75,33.622,12.846,28.829,11.015
28147 Titulcia,2021,18.161,17.15,38.225,14.327,32.282,12.1
28148 TorrejÃ³n de Ardoz,2021,19.662,17.85,43.635,15.313,36.317,12.745
28149 TorrejÃ³n de la Calzada,2021,21.129,19.25,50.326,16.226,41.049,13.235
28150 TorrejÃ³n de Velasco,2021,19.977,18.55,45.351,15.441,37.573,12.792
28151 Torrelaguna,2021,19.076,17.85,40.257,14.874,33.904,12.527
28152 Torrelodones,2021,20.283,18.55,41.656839,16.457760999999998,34.941,13.665
28153 Torremocha de Jarama,2021,22.339,19.95,44.539,18.746,36.758,15.471
28154 Torres de la Alameda,2021,18.643,17.15,41.37,14.264,34.93,12.044
28155 Valdaracete,2021,17.419,15.05,31.994,13.288,27.898,11.586
28156 Valdeavero,2021,18.871,17.85,39.817,14.611,33.583,12.323
28157 Valdelaguna,2021,17.632,15.75,33.441,14.135,28.36,11.987
28158 Valdemanco,2021,19.517,16.45,37.491,15.957,31.06,13.22
28159 Valdemaqueda,2021,15.538,13.65,29.302,12.574,25.28,10.848
28160 Valdemorillo,2021,23.658,20.65,53.816,19.529,42.527,15.433
28161 Valdemoro,2021,21.086,19.25,48.586,16.273,39.791,13.327
28162 Valdeolmos-Alalpardo,2021,24.79,21.35,58.688,19.684,45.394,15.225
28163 ValdepiÃ©lagos,2021,19.089,17.85,41.505,15.129,34.952,12.741
28164 Valdetorres de Jarama,2021,19.916,17.15,44.817,15.69,36.785,12.878
28165 Valdilecha,2021,16.533,15.05,34.58,12.793,29.59,10.947
28166 Valverde de AlcalÃ¡,2021,19.134,17.15,38.547,15.812,29.726,12.194
28167 Velilla de San Antonio,2021,20.727,19.25,48.245,16.122,39.657,13.252
"28168 VellÃ³n, El",2021,17.806,16.45,35.309,14.292,29.77,12.05
28169 Venturada,2021,20.283,18.55,69.811,16.457760999999998,53.285,19.678
28170 Villaconejos,2021,15.766,14.35,31.967,11.924,27.794,10.367
28171 Villa del Prado,2021,16.651,15.05,35.679,12.824,30.521,10.97
28172 Villalbilla,2021,25.629,22.75,60.302,20.423,47.715,16.16
28173 Villamanrique de Tajo,2021,16.464,15.05,30.652,13.143,26.235,11.249
28174 Villamanta,2021,17.771,15.75,38.712,13.812,32.599,11.631
28175 Villamantilla,2021,19.986,17.85,43.123,15.709,35.638,12.982
28176 Villanueva de la CaÃ±ada,2021,20.283,24.85,41.656839,24.707,34.941,18.512
28177 Villanueva del Pardillo,2021,26.357,22.75,68.392,20.885,52.958,16.172
28178 Villanueva de Perales,2021,19.086,17.85,42.482,14.553,35.569,12.185
28179 Villar del Olmo,2021,20.97,17.85,47.075,17.221,37.894,13.862
28180 Villarejo de SalvanÃ©s,2021,17.459,16.45,36.601,13.369,31.258,11.417
28181 Villaviciosa de OdÃ³n,2021,20.283,18.55,41.656839,25.368,34.941,19.257
28182 Villavieja del Lozoya,2021,20.562,17.85,36.745,17.345,30.578,14.433
28183 Zarzalejo,2021,16.444,14.35,32.917,13.121,27.747,11.06
28901 Lozoyuela-Navas-Sieteiglesias,2021,17.268,15.75,34.588,13.796,29.083,11.6
28902 Puentes Viejas,2021,20.889,17.85,38.969,18.055,32.201,14.919
28903 Tres Cantos,2021,20.283,18.55,41.656839,16.457760999999998,34.941,20.477
"28001 Acebeda, La",2022,,,34.006482,19.040398999999997,28.562172,15.992004999999999
28002 Ajalvir,2022,23.100029,20.19325,51.831089999999996,18.36799,42.284141,14.984964999999999
