 Municipio,total Paro Registrado,Paro hombre edad < 25,Paro hombre edad 25 -45 ,Paro hombre edad >=45,Paro mujer edad < 25,Paro mujer edad 25 -45 ,Paro mujer edad >=45,Paro Agricultura,Paro Industria,Paro construccion,Paro Servicios,Paro Sin empleo Anterior,mes,year
Valdilecha,280.0,14.0,41.0,53.0,12.0,87.0,73.0,12.0,29.0,24.0,188.0,27.0,02,2021
Valverde de Alcalï¿½,27.0,2.0,8.0,4.0,3.0,4.0,6.0,0.0,4.0,3.0,19.0,1.0,02,2021
Velilla de San Antonio,896.0,55.0,124.0,158.0,53.0,212.0,294.0,5.0,61.0,49.0,739.0,42.0,02,2021
"Vellï¿½n, El",150.0,7.0,17.0,42.0,3.0,37.0,44.0,3.0,9.0,17.0,109.0,12.0,02,2021
Venturada,114.0,3.0,20.0,32.0,6.0,18.0,35.0,1.0,8.0,4.0,96.0,5.0,02,2021
Villaconejos,303.0,13.0,50.0,61.0,18.0,73.0,88.0,21.0,16.0,20.0,230.0,16.0,02,2021
Villa del Prado,507.0,34.0,105.0,114.0,29.0,123.0,102.0,3.0,16.0,65.0,355.0,35.0,02,2021
Villalbilla,795.0,53.0,102.0,137.0,36.0,242.0,225.0,4.0,84.0,36.0,623.0,48.0,02,2021
Villamanrique de Tajo,67.0,5.0,9.0,10.0,4.0,19.0,20.0,7.0,7.0,2.0,48.0,3.0,02,2021
Villamanta,187.0,11.0,34.0,31.0,8.0,42.0,61.0,7.0,15.0,14.0,136.0,15.0,02,2021
Villamantilla,114.0,9.0,10.0,34.0,6.0,24.0,31.0,0.0,12.0,8.0,83.0,11.0,02,2021
Villanueva de la Caï¿½ada,923.0,33.0,152.0,203.0,36.0,212.0,287.0,8.0,41.0,56.0,782.0,36.0,02,2021
Villanueva del Pardillo,838.0,32.0,114.0,199.0,29.0,200.0,264.0,4.0,35.0,54.0,717.0,28.0,02,2021
Villanueva de Perales,115.0,10.0,12.0,29.0,7.0,25.0,32.0,1.0,3.0,11.0,90.0,10.0,02,2021
Villar del Olmo,146.0,5.0,15.0,33.0,7.0,41.0,45.0,2.0,13.0,16.0,104.0,11.0,02,2021
Villarejo de Salvanï¿½s,639.0,31.0,90.0,95.0,31.0,139.0,253.0,18.0,124.0,43.0,384.0,70.0,02,2021
Villaviciosa de Odï¿½n,1134.0,43.0,210.0,248.0,27.0,236.0,370.0,4.0,74.0,73.0,927.0,56.0,02,2021
Villavieja del Lozoya,16.0,2.0,1.0,8.0,0.0,2.0,3.0,0.0,0.0,2.0,13.0,1.0,02,2021
Zarzalejo,140.0,9.0,17.0,35.0,7.0,33.0,39.0,3.0,4.0,11.0,107.0,15.0,02,2021
Lozoyuela-Navas-Sieteiglesias,116.0,5.0,16.0,26.0,6.0,26.0,37.0,1.0,5.0,12.0,89.0,9.0,02,2021
Puentes Viejas,46.0,2.0,4.0,11.0,1.0,15.0,13.0,3.0,0.0,3.0,39.0,1.0,02,2021
Tres Cantos,195.0,74.0,28.5,382.0,48.0,408.0,58.0,9.0,100.0,71.0,147.0,61.0,02,2021
"Acebeda, La",4.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,03,2021
Ajalvir,264.0,16.0,32.0,66.0,8.0,68.0,74.0,5.0,27.0,9.0,207.0,16.0,03,2021
Alameda del Valle,14.0,0.0,5.0,2.0,0.0,4.0,3.0,1.0,1.0,0.0,10.0,2.0,03,2021
"ï¿½lamo, El",783.0,56.0,138.0,156.0,48.0,177.0,208.0,4.0,45.0,87.0,559.0,88.0,03,2021
Alcalï¿½ de Henares,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,03,2021
Alcobendas,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,03,2021
Alcorcï¿½n,195.0,9.0,28.5,47.0,7.0,44.0,58.0,3.0,12.0,17.0,147.0,13.0,03,2021
Aldea del Fresno,280.0,12.0,49.0,63.0,9.0,67.0,80.0,11.0,17.0,32.0,198.0,22.0,03,2021
Algete,1143.0,50.0,180.0,240.0,45.0,245.0,383.0,4.0,114.0,73.0,897.0,55.0,03,2021
Alpedrete,850.0,41.0,126.0,219.0,32.0,172.0,260.0,3.0,43.0,53.0,703.0,48.0,03,2021
Ambite,73.0,4.0,12.0,13.0,1.0,18.0,25.0,2.0,5.0,4.0,59.0,3.0,03,2021
